paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,0618;1,0624;5,6112;5,615;2023-03-16 13:08:36.434;Intermediário
1,0618;1,0624;5,6154;5,6192;2023-03-16 13:08:36.441;Fechamento
1,0624;1,0628;5,579;5,5817;2023-03-17 10:05:16.519;Abertura
1,0637;1,0641;5,5983;5,601;2023-03-17 11:03:21.696;Intermediário
1,0632;1,0635;5,6098;5,612;2023-03-17 12:02:17.606;Intermediário
1,0644;1,0648;5,6185;5,6213;2023-03-17 13:06:41.597;Intermediário
1,0644;1,0648;5,6065000000000005;5,6093;2023-03-17 13:06:41.604;Fechamento
1,0703;1,0707;5,6255;5,6282;2023-03-20 10:03:18.584;Abertura
1,0722;1,0726;5,625;5,6277;2023-03-20 11:06:18.123;Intermediário
1,0726;1,0727;5,6165;5,6176;2023-03-20 12:10:16.596;Intermediário
1,0721;1,0724;5,6239;5,6261;2023-03-20 13:09:32.717;Intermediário
1,0721;1,0724;5,6243;5,6266;2023-03-20 13:09:32.724;Fechamento
1,0781;1,0782;5,6529;5,6541;2023-03-21 10:10:16.41;Abertura
1,0776;1,078;5,6573;5,66;2023-03-21 11:07:17.211;Intermediário
1,0774;1,0775;5,6407;5,6419;2023-03-21 12:03:15.048;Intermediário
1,0766;1,077;5,6484;5,6511;2023-03-21 13:02:26.888;Intermediário
1,0766;1,077;5,6455;5,6482;2023-03-21 13:02:26.895;Fechamento
1,0781;1,0783;5,6674;5,6691;2023-03-22 10:05:16.593;Abertura
1,0779;1,0783;5,6829;5,6857;2023-03-22 11:02:16.652;Intermediário
1,0793;1,0797;5,6854;5,6882;2023-03-22 12:09:16.367;Intermediário
1,0789;1,0793;5,6752;5,678;2023-03-22 13:03:35.603;Intermediário
1,0789;1,0793;5,6795;5,6823;2023-03-22 13:03:35.608;Fechamento
1,0871;1,0875;5,6966;5,6994;2023-03-23 10:05:16.76;Abertura
1,0887;1,0889;5,7291;5,7308;2023-03-23 11:03:16.307;Intermediário
1,0889;1,0893;5,7431;5,7458;2023-03-23 12:07:16.719;Intermediário
1,0886;1,089;5,7407;5,7435;2023-03-23 13:11:17.074;Intermediário
1,0886;1,089;5,7289;5,7316;2023-03-23 13:11:17.083;Fechamento
1,0747;1,0751;5,7292000000000005;5,732;2023-03-24 10:06:17.313;Abertura
1,0754;1,0758;5,7079;5,7107;2023-03-24 11:02:16.708;Intermediário
1,0748;1,0752;5,6721;5,6749;2023-03-24 12:10:16.905;Intermediário
1,0761;1,0762;5,6494;5,6506;2023-03-24 13:10:20.862;Intermediário
1,0761;1,0762;5,6942;5,6954;2023-03-24 13:10:20.867;Fechamento
1,0772;1,0773;5,6303;5,6315;2023-03-27 10:09:20.998;Abertura
1,0782;1,0786;5,6331;5,6358;2023-03-27 11:05:16.759;Intermediário
1,0781;1,0782;5,645;5,6462;2023-03-27 12:09:19.877;Intermediário
1,0787;1,0791;5,6445;5,6472999999999995;2023-03-27 13:04:25.496;Intermediário
1,0787;1,0791;5,6416;5,6443;2023-03-27 13:04:25.505;Fechamento
1,0838;1,084;5,6244;5,6261;2023-03-28 10:07:16.532;Abertura
1,0822;1,0826;5,5893;5,5921;2023-03-28 11:02:16.757;Intermediário
1,083;1,0834;5,6021;5,6049;2023-03-28 12:11:16.539;Intermediário
1,0842;1,0846;5,5986;5,6013;2023-03-28 13:06:23.554;Intermediário
1,0842;1,0846;5,6082;5,611;2023-03-28 13:06:23.561;Fechamento
1,0852;1,0854;5,6038;5,6054;2023-03-29 10:10:16.977;Abertura
1,0845;1,0849;5,5779;5,5806000000000004;2023-03-29 11:11:16.597;Intermediário
1,083;1,0833;5,5754;5,5776;2023-03-29 12:02:17.293;Intermediário
1,0825;1,0827;5,5636;5,5653;2023-03-29 13:03:45.811;Intermediário
1,0825;1,0827;5,5735;5,5751;2023-03-29 13:03:45.818;Fechamento
1,0909;1,0911;5,574;5,5756;2023-03-30 10:10:18.922;Abertura
1,0916;1,0917;5,6139;5,615;2023-03-30 11:11:16.355;Intermediário
1,0912;1,0914;5,5984;5,6001;2023-03-30 12:04:18.424;Intermediário
1,0896;1,09;5,5746;5,5773;2023-03-30 13:11:18.577;Intermediário
1,0896;1,09;5,584;5,5867;2023-03-30 13:11:18.582;Fechamento
1,0887;1,0889;5,5404;5,5421;2023-03-31 10:06:17.235;Abertura
1,0893;1,0897000000000001;5,5408;5,5435;2023-03-31 11:07:17.386;Intermediário
1,0867;1,087;5,513;5,5152;2023-03-31 12:06:17.018;Intermediário
1,087;1,0874;5,5116;5,5143;2023-03-31 13:03:22.565;Intermediário
1,087;1,0874;5,5217;5,5244;2023-03-31 13:03:22.571;Fechamento
1,0863;1,0867;5,4992;5,5019;2023-04-03 10:11:17.902;Abertura
1,0884;1,0886;5,511;5,5127;2023-04-03 11:06:17.545;Intermediário
1,0885;1,0889;5,5081;5,5108;2023-04-03 12:04:17.603;Intermediário
1,0889;1,0893;5,5166;5,5193;2023-04-03 13:04:18.817;Intermediário
1,0889;1,0893;5,5132;5,5159;2023-04-03 13:04:18.827;Fechamento
1,089;1,0894;5,5189;5,5216;2023-04-04 10:09:17.147;Abertura
1,0903;1,0905;5,5287;5,5304;2023-04-04 11:04:16.586;Intermediário
1,0968;1,0972;5,566;5,5687;2023-04-04 12:05:18.777;Intermediário
1,0948;1,0952;5,5712;5,5739;2023-04-04 13:04:34.45;Intermediário
1,0948;1,0952;5,5568;5,5595;2023-04-04 13:04:34.464;Fechamento
1,0956;1,096;5,5361;5,5387;2023-04-05 10:02:17.182;Abertura
1,0941;1,0942;5,5031;5,5043;2023-04-05 11:05:16.641;Intermediário
1,0911;1,0912;5,5125;5,5136;2023-04-05 12:08:16.552;Intermediário
1,0917;1,0918;5,5036000000000005;5,5047;2023-04-05 13:05:17.526;Intermediário
1,0917;1,0918;5,5066;5,5078;2023-04-05 13:05:17.533;Fechamento
1,089;1,0894;5,5233;5,526;2023-04-06 10:02:17.903;Abertura
1,0895;1,0897000000000001;5,5319;5,5336;2023-04-06 11:08:17.088;Intermediário
1,0923;1,0924;5,5238;5,5249;2023-04-06 12:04:16.704;Intermediário
1,0926;1,093;5,5335;5,5362;2023-04-06 13:03:26.695;Intermediário
1,0926;1,093;5,537;5,5397;2023-04-06 13:03:26.701;Fechamento
1,0847;1,0851;5,514;5,5166;2023-04-10 10:05:19.494;Abertura
